Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Build_Paint_N,Building_Fenced,Build_Fence_N,Garden,Garden_V,Garden_O,Garden_T,Settlement,Settlement2,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H16164,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1576,2,1900,5,64417.0,1
H14825,2013,0.832876712,0,N,1,V,0,V,1,0,0,U,1,1350,4,1980,0,6083.0,0
H7263,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,3350,2,1988,0,68166.0,0
H13575,2015,0.909589041,0,V,0,N,1,O,0,1,0,R,0,2600,3,1960,5,93077.0,1
H4003,2016,0.464480874,1,V,0,V,0,V,1,0,0,U,1,182,3,1980,0,94041.0,0
H18082,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,1764,1,1970,4,91377.0,0
H5332,2012,0.038251366,1,N,1,V,0,V,1,0,0,U,1,1275,3,1960,0,83137.0,0
H2570,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,600,1,1990,4,63032.0,0
H17468,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,2250,2,2011,4,13212.0,0
H19318,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,720,2,1950,3,31555.0,0
H17977,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,300,2,1900,3,26198.0,0
H7029,2013,0.816438356,1,V,0,N,1,O,0,1,0,R,0,1320,3,1970,5,33063.0,0
H3805,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,1414,2,1980,0,14437.0,1
H17394,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,2785,1,2005,6,91249.0,0
H18085,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,8015,2,1973,3,30133.0,1
H483,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,438,2,0,0,40046.0,0
H16710,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,5182,2,2010,6,64102.0,0
H2779,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,1100,2,1988,0,38075.0,0
H1881,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,526,2,1900,3,13205.0,0
H6003,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,1260,2,1910,6,68224.0,1
H15123,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,650,4,1960,3,6029.0,1
H18102,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,660,1,2005,3,19123.0,0
H18568,2014,1.0,1,V,0,N,1,O,0,1,0,R,0,730,3,1900,4,93062.0,1
H3444,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,400,3,1900,3,93048.0,0
H4720,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,337,2,1960,0,34032.0,0
H7395,2012,0.540983607,0,V,0,V,0,V,1,0,0,U,1,175,1,1960,0,35238.0,0
H7458,2013,1.0,1,N,1,V,0,V,1,0,0,U,1,3000,3,1980,0,38185.0,1
H13005,2016,0.99726776,1,N,1,V,0,V,1,0,0,U,1,345,3,1960,0,93045.0,0
H14466,2014,1.0,0,N,1,V,0,V,1,0,0,U,1,500,1,1980,0,74173.0,0
H230,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,650,2,1956,4,42218.0,0
H17894,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,1988,3,2004,3,83137.0,0
H3693,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,2340,3,0,0,64483.0,0
H14,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,500,2,1960,0,13204.0,0
H1358,2016,0.99726776,0,N,1,V,0,V,1,0,0,U,1,539,1,1960,0,13042.0,0
H16292,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1150,1,1900,4,35288.0,0
H2137,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,4943,2,1980,0,42218.0,0
H18555,2016,0.967213115,1,V,0,N,1,O,0,1,0,R,0,8382,2,2012,4,69244.0,0
H7416,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,750,4,0,0,75118.0,0
H3552,2016,0.99726776,0,N,1,V,0,V,1,0,0,U,1,1300,2,1960,0,13209.0,0
H3952,2014,1.0,0,V,0,V,0,V,1,0,0,U,1,1200,2,1960,0,21231.0,0
H13511,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,634,2,1960,0,77243.0,0
H13057,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1090,1,1960,4,8409.0,0
H3143,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,750,1,1964,3,74133.0,0
H12940,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,3320,2,2007,2,40279.0,0
H1542,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,2815,1,1980,0,36006.0,0
H4654,2013,0.597260274,0,N,1,V,0,V,1,0,0,U,1,1000,2,1960,0,34172.0,0
H4002,2015,1.0,1,V,0,V,0,V,1,0,0,U,1,582,3,1980,0,94041.0,0
H19140,2014,1.0,0,V,0,N,1,O,0,1,0,R,0,1255,4,1920,5,6012.0,1
H13681,2013,1.0,1,N,1,V,0,V,1,0,0,U,1,5155,3,1980,0,92051.0,1
H15152,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,1400,1,2009,5,16015.0,1
H19759,2016,0.99726776,1,V,0,N,1,O,0,1,0,R,0,2800,4,1995,5,75113.0,0
H14565,2012,1.0,1,N,1,V,0,V,1,0,0,U,1,410,4,1960,0,75114.0,0
H15192,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,915,1,2009,4,91649.0,0
H17817,2012,1.0,1,V,0,N,1,O,0,1,0,R,0,830,2,1985,3,64125.0,0
H7469,2012,1.0,0,V,0,V,0,V,1,0,0,U,1,5523,1,1988,0,54184.0,1
H7310,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,1400,2,1990,5,62826.0,0
H3924,2014,1.0,0,N,1,V,0,V,1,0,0,U,1,1142,2,1980,0,63113.0,0
H4218,2014,1.0,1,N,1,V,0,V,1,0,0,U,1,857,3,0,0,94080.0,0
H1369,2013,0.750684932,0,V,0,V,0,V,1,0,0,U,1,3783,2,1980,0,34032.0,0
H18855,2013,1.0,0,V,0,N,1,O,0,1,0,R,0,1030,1,1961,1,10333.0,0
H6475,2016,0.99726776,0,N,1,V,0,V,1,0,0,U,1,1166,2,1960,0,13205.0,1
H4083,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,600,2,1900,3,39097.0,0
H5026,2013,0.865753425,1,V,0,V,0,V,1,0,0,U,1,5746,1,0,0,33096.0,0
H18243,2012,0.942622951,1,V,0,N,1,O,0,1,0,R,0,2183,3,1990,2,92051.0,0
H3869,2013,0.164383562,0,V,0,V,0,V,1,0,0,U,1,495,1,1960,0,71076.0,0
H16299,2015,1.0,0,V,0,N,1,O,0,1,0,R,0,790,3,1959,7,92004.0,0
H5833,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,842,1,1960,0,42095.0,0
H1610,2013,0.783561644,0,V,0,V,0,V,1,0,0,U,1,300,2,1960,0,13203.0,0
H18313,2016,0.24863388,0,V,0,N,1,O,0,1,0,R,0,4374,2,2002,3,83115.0,0
H17565,2012,1.0,0,V,0,N,1,O,0,1,0,R,0,7750,2,1980,4,30133.0,1
H3984,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,2900,4,1960,0,6083.0,1
H19351,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,512,2,1924,4,95210.0,0
H1927,2015,1.0,0,V,0,V,0,V,1,0,0,U,1,1780,2,1980,0,34902.0,0
H5626,2013,1.0,0,V,0,V,0,V,1,0,0,U,1,4372,3,1980,0,92050.0,0
H16635,2016,0.99726776,0,V,0,N,1,O,0,1,0,R,0,1200,2,1974,4,30189.0,0
